Type,Date,Price,Position_Size,Capital,Trailing_Stop,ATR,Profit,Exit_Reason
Sell,2023-03-01 12:00:00,135.402,,146148.72111402062,,,-1964.615739818857,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-03-07 22:00:00,137.091,2132.1417323386745,146148.72111402062,132.97827,0.21632022835247053,,
Sell,2023-03-09 14:00:00,136.16,,144163.6971612133,,,-1985.0239528073307,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-04-17 11:00:00,133.776,2155.2998618767683,144163.6971612133,129.76272,0.22577371027045462,,
Sell,2023-04-20 19:00:00,134.277,,145243.5023920135,,,1079.80523080021,Short MA Crossed Below Medium MA
Buy,2023-04-28 15:00:00,135.994,2136.0280952396943,145243.5023920135,131.91418,0.38217148079905094,,
Sell,2023-05-03 04:00:00,136.058,,145380.20819010882,,,136.70579809532538,Short MA Crossed Below Medium MA
Buy,2023-05-10 06:00:00,135.384,2147.67192858992,145380.20819010882,131.32247999999998,0.14934451178380476,,
Sell,2023-05-10 16:00:00,134.337,,143131.59568087518,,,-2248.6125092336397,Drawdown Protection (Triggered Trading Halt)
Buy,2023-05-14 21:00:00,135.712,2109.3432516045036,143131.59568087518,131.64064,0.1810627580182802,,
Sell,2023-05-22 08:00:00,137.831,,147601.2940310251,,,4469.698350149943,Short MA Crossed Below Medium MA
Buy,2023-05-26 19:00:00,140.569,2100.0546924432147,147601.2940310251,136.35192999999998,0.21873613265332467,,
Sell,2023-05-30 14:00:00,139.781,,145946.4509333799,,,-1654.8430976452164,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-06-05 01:00:00,140.132,2082.9853414406402,145946.4509333799,135.92804,0.19807929298497373,,
Sell,2023-06-06 08:00:00,139.21,,144025.93844857163,,,-1920.5124848082642,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-06-16 02:00:00,140.68,2047.5680757545013,144025.93844857163,136.4596,0.2761426756125572,,
Sell,2023-06-20 23:00:00,141.339,,145375.28581049384,,,1349.3473619221995,Short MA Crossed Below Medium MA
Buy,2023-06-21 13:00:00,142.25,2043.9407495324265,145375.28581049384,137.9825,0.2294734802568535,,
Sell,2023-07-03 02:00:00,144.666,,150313.44666136417,,,4938.160850870336,Short MA Crossed Below Medium MA
Buy,2023-08-08 20:00:00,143.367,2096.9044014503224,150313.44666136417,139.06599,0.20401517397431412,,
Sell,2023-08-18 05:00:00,145.357,,154486.28642025034,,,4172.839758886161,Short MA Crossed Below Medium MA
Buy,2023-08-21 17:00:00,146.164,2113.8760080491825,154486.28642025034,141.77908,0.19540166231493303,,
Sell,2023-08-23 09:00:00,145.429,,152932.58755433423,,,-1553.698865916118,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-08-27 21:00:00,146.412,2089.07176398566,152932.58755433423,142.01964,0.18972221612800982,,
Sell,2023-08-29 23:00:00,145.982,,152034.28669582037,,,-898.300858513848,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-09-05 07:00:00,146.912,2069.7327202110155,152034.28669582037,142.50464,0.13086638996687472,,
Sell,2023-09-07 22:00:00,147.279,,152793.87860413778,,,759.5919083174224,Short MA Crossed Below Medium MA
Buy,2023-09-13 15:00:00,147.46,2072.3433962313543,152793.87860413778,143.0362,0.18001484918989133,,
Sell,2023-09-21 20:00:00,147.568,,153017.69169093078,,,223.81308679299474,Short MA Crossed Below Medium MA
Buy,2023-09-22 09:00:00,148.312,2063.4566547673926,153017.69169093078,143.86264,0.20427390632581427,,
Sell,2023-09-29 12:00:00,149.19,,154829.4066338165,,,1811.7149428857417,Short MA Crossed Below Medium MA
Buy,2023-10-08 23:00:00,149.151,2076.1430581600725,154829.4066338165,144.67647,0.17482864400017023,,
Sell,2023-10-09 20:00:00,148.492,,153461.228358489,,,-1368.1782753275297,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-10-12 20:00:00,149.797,2048.922586680494,153461.228358489,145.30309,0.13344977175311834,,
Sell,2023-10-23 20:00:00,149.693,,153248.14040947426,,,-213.08794901474064,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-10-26 20:00:00,150.349,2038.5654764511141,153248.14040947426,145.83853,0.15971674490476667,,
Sell,2023-10-27 15:00:00,149.609,,151739.60195690047,,,-1508.538452573785,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-10-31 23:00:00,151.32,2005.545888936036,151739.60195690047,146.7804,0.2582948531115085,,
Sell,2023-11-02 11:00:00,150.365,,149824.3056329666,,,-1915.2963239338824,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-11-07 14:00:00,150.606,1989.619346280581,149824.3056329666,146.08782,0.1442989998672522,,
Sell,2023-11-14 16:00:00,150.751,,150112.8004381773,,,288.4948052107046,Short MA Crossed Below Medium MA
Buy,2023-11-16 06:00:00,151.339,1983.7953262302158,150112.8004381773,146.79882999999998,0.15533462647302443,,
Sell,2023-11-16 13:00:00,150.649,,148743.98166307845,,,-1368.8187750988443,Drawdown Protection (Triggered Trading Halt)
Buy,2024-01-10 22:00:00,145.636,2042.6815026927195,148743.98166307845,141.26692,0.2116757753072662,,
Sell,2024-01-12 14:00:00,144.539,,146503.16005462452,,,-2240.8216084539304,Short MA Crossed Below Medium MA (Triggered Trading Halt)
